age,education_level,cgpa,math_score,physics_score,biology_score,history_score,openness,conscientiousness,extraversion,agreeableness,neuroticism,weekly_self_study_hours,extracurricular_activities,hobbies,interests,budget,career_demand_score,career_aspiration
20,UG,7,85,66,77,64,2,2,3,2,2,18,1,history,arts,7,6,Medicine
24,PG,7,80,84,81,75,3,3,3,2,4,17,1,writing,technology,4,7,IT Specialist
17,Grade 12,7.9,76,83,62,70,1,3,3,4,2,16,0,"dance, gaming, sports",business,7,6,IT Specialist
22,UG,8.3,58,83,69,74,1,2,3,2,4,21,1,"history, research, music",arts,5,6,Software Engineer
18,UG,5.2,87,58,66,70,3,3,3,3,2,24,1,gaming,healthcare,5,8,Arts
17,Grade 12,8.3,71,82,79,79,5,2,5,2,1,17,0,"painting, history, debate",technology,12,10,Historian
22,UG,7.6,60,71,50,69,2,2,3,2,1,26,0,gaming,arts,9,8,Engineering
16,Grade 12,6.4,67,67,61,73,1,2,2,4,2,30,0,"sports, gaming, travel",arts,9,6,Lawyer
18,UG,5.8,70,77,67,58,2,3,3,2,3,5,1,coding,business,12,7,MBA
18,UG,6.9,84,92,78,75,1,1,3,1,2,19,1,travel,healthcare,11,7,Lawyer
27,PG,8.1,63,79,67,51,4,2,3,2,2,14,0,travel,healthcare,14,10,CA
22,UG,8,74,65,53,63,2,4,3,2,2,20,1,painting,healthcare,10,6,MBA
21,UG,6.6,65,64,85,58,3,3,2,2,3,22,1,"reading, writing, travel",arts,11,8,Historian
19,UG,6.6,71,77,86,57,2,2,1,4,3,24,1,"debate, music",arts,3,7,Lawyer
22,UG,7.2,76,90,71,53,2,1,2,1,2,22,0,"debate, science",technology,11,5,Arts
13,Grade 10,7.1,68,78,50,73,4,2,1,1,4,19,0,"science, painting, history",arts,13,6,Engineering
13,Grade 10,7.4,77,84,72,68,3,2,1,5,2,23,0,"finance, science",business,11,6,Lawyer
19,UG,7,65,83,67,76,4,4,1,2,3,13,1,"reading, science",technology,8,6,Finance Manager
24,UG,7.1,81,58,65,54,2,1,2,2,2,15,1,"music, travel",healthcare,13,5,MBA
13,Grade 10,10,63,77,74,62,2,3,3,1,1,15,1,"music, gaming",arts,11,9,Software Engineer
23,UG,7.2,60,61,66,52,2,1,3,2,2,26,1,"painting, travel, finance",arts,10,3,Lawyer
18,UG,7.3,89,94,66,50,3,2,1,2,3,24,1,"dance, travel",healthcare,12,7,Arts
16,Grade 12,8.5,85,67,72,77,2,3,3,3,3,17,0,debate,arts,4,7,CA
23,PG,7,91,81,65,64,2,2,2,3,3,24,1,"research, writing, gaming",technology,13,10,Historian
23,PG,7.7,62,77,63,76,3,2,3,4,2,20,0,science,healthcare,9,9,Data Scientist
14,Grade 10,7.4,61,77,66,60,1,4,3,3,3,15,0,"writing, coding",business,12,3,MBA
23,PG,7.2,84,90,66,62,4,1,3,2,3,23,1,"reading, gaming",healthcare,3,7,Finance Manager
24,PG,6.8,97,65,94,66,3,3,2,3,3,22,1,painting,technology,6,8,Finance Manager
20,UG,8.1,62,67,75,66,3,2,3,3,1,13,1,"travel, reading, debate",business,3,7,Defence Persenal
19,UG,7.3,83,93,66,50,3,4,3,3,3,18,1,"gaming, science",healthcare,14,8,Medicine
27,PG,8.2,89,91,55,63,2,4,3,3,2,27,0,"science, gaming, painting",technology,11,7,Finance Manager
21,UG,6.9,82,71,67,77,3,3,3,4,3,28,1,"dance, finance",arts,11,7,Engineering
18,UG,8.6,77,78,57,63,4,3,1,2,3,26,1,"history, science",technology,10,3,Arts
24,UG,9.3,55,70,89,70,5,3,3,1,2,15,1,travel,arts,12,6,Data Scientist
22,UG,10,83,69,82,56,4,3,3,1,2,15,0,"coding, gaming, research",arts,6,8,Lawyer
22,UG,7.4,80,72,77,78,2,3,3,2,1,10,1,history,business,11,6,Lawyer
19,UG,7.7,80,63,69,83,3,2,2,2,3,10,0,"finance, research",arts,14,5,Arts
23,PG,7.8,62,85,69,90,3,3,3,2,3,25,0,"finance, dance, sports",arts,7,6,Finance Manager
13,Grade 10,9.1,79,76,82,50,3,1,2,2,1,23,1,"dance, reading",business,13,4,IT Specialist
14,Grade 10,9.3,62,77,90,78,4,4,1,2,2,9,1,"science, dance",business,5,7,Medicine
13,Grade 10,5.9,71,88,68,64,2,1,1,4,3,17,1,"coding, research",business,12,4,Historian
22,UG,7.7,87,84,56,56,3,2,4,1,3,19,1,"gaming, travel",arts,10,8,Data Scientist
20,UG,8.6,89,73,65,71,3,3,3,4,1,12,1,"painting, finance",technology,8,6,MBA
21,UG,8,63,75,67,57,2,1,4,3,1,23,1,"coding, gaming",healthcare,6,9,Engineering
23,PG,7.4,67,75,50,77,2,3,3,4,1,19,1,"dance, finance, music",healthcare,5,8,IT Specialist
17,Grade 12,6.8,61,77,60,66,3,3,2,3,3,5,0,painting,business,11,5,Engineering
22,UG,7.9,73,80,78,72,2,3,3,3,2,13,1,"sports, research",arts,5,7,Engineering
22,UG,5.6,76,75,72,69,3,3,2,2,2,27,1,coding,technology,9,6,Finance Manager
18,UG,7.8,60,69,69,68,4,2,2,2,2,19,0,"painting, reading",technology,12,5,Engineering
13,Grade 10,8.1,68,71,77,80,2,4,2,1,2,11,0,"research, music, sports",arts,7,6,Data Scientist
28,UG,7.4,77,75,93,90,3,1,2,2,3,25,1,coding,healthcare,9,6,Data Scientist
17,Grade 12,8.7,83,77,67,72,3,4,2,4,2,24,1,dance,arts,7,3,Historian
20,UG,7.1,68,90,79,87,2,2,2,4,1,16,0,"gaming, sports, finance",arts,13,5,Finance Manager
24,PG,7.6,94,83,62,56,1,2,3,4,2,23,0,"dance, reading",technology,10,8,Defence Persenal
17,Grade 12,6.1,72,76,67,77,3,3,2,1,1,26,1,debate,arts,11,5,Arts
24,PG,7.8,75,69,68,63,2,2,1,5,5,18,1,"reading, writing",technology,14,8,CA
19,UG,9.2,62,95,80,66,4,2,3,3,3,13,0,"coding, history, travel",technology,5,5,Lawyer
13,Grade 10,7.5,79,65,72,82,1,3,3,3,2,16,0,"painting, dance, writing",arts,11,4,Medicine
20,UG,5.9,96,66,73,54,4,5,2,1,3,20,1,"history, science",arts,10,6,Software Engineer
18,UG,7.4,75,66,83,50,2,3,1,1,3,22,0,"science, finance, coding",arts,9,3,Engineering
13,Grade 10,8.7,58,89,66,83,1,2,3,3,2,29,1,reading,technology,9,10,CA
21,UG,6.8,76,50,69,69,3,2,5,3,2,19,0,"reading, debate",business,10,8,Engineering
24,PG,7.2,72,74,53,50,3,2,2,1,4,18,1,"writing, music, science",arts,8,5,Engineering
19,UG,5.9,77,67,78,79,2,3,2,2,5,18,1,"research, dance, reading",business,13,7,Arts
13,Grade 10,8.2,84,79,81,85,2,3,4,2,2,18,1,finance,technology,9,8,Lawyer
19,UG,8.3,83,69,72,62,3,2,3,3,4,21,1,gaming,healthcare,5,9,Arts
22,UG,5.4,66,68,80,50,2,4,2,2,1,17,1,finance,arts,9,7,Engineering
22,UG,6.4,70,67,58,55,4,1,2,2,5,20,1,"coding, history",healthcare,6,6,Engineering
22,UG,6.8,61,78,70,72,2,1,2,3,3,31,1,coding,arts,5,10,Medicine
17,Grade 12,5.4,82,78,59,70,2,3,2,2,5,22,0,"research, debate, travel",business,10,9,Lawyer
20,UG,7.1,56,71,67,63,4,3,4,3,3,12,1,"painting, coding, history",healthcare,13,7,Data Scientist
20,UG,8.2,51,75,63,65,1,3,2,4,1,18,0,"reading, science, history",arts,10,7,Medicine
17,Grade 12,7.3,84,62,76,72,2,2,3,2,3,25,0,"gaming, painting, travel",healthcare,9,6,IT Specialist
21,UG,6.4,79,71,75,54,2,2,3,4,2,27,1,travel,healthcare,9,6,Defence Persenal
22,UG,6.1,88,99,75,75,1,3,2,4,4,26,0,"history, debate, writing",arts,10,8,Engineering
19,UG,7.9,88,69,70,64,3,2,2,3,3,34,1,history,technology,9,6,Medicine
21,UG,5.8,87,80,100,82,3,2,1,3,1,23,0,"debate, travel, research",arts,9,7,CA
24,PG,6.3,86,61,67,50,2,1,3,3,1,12,1,sports,technology,9,7,Finance Manager
22,UG,7.1,79,85,75,79,1,2,1,1,3,12,1,"coding, dance",arts,11,5,MBA
13,Grade 10,6.5,87,82,68,78,2,3,1,3,1,28,0,reading,arts,11,9,IT Specialist
25,PG,8,65,69,82,52,3,2,4,2,3,18,0,"history, science, music",technology,8,6,IT Specialist
15,Grade 10,6.5,91,73,80,78,2,3,2,3,4,6,0,"painting, music",business,11,7,CA
23,PG,7.4,79,71,68,85,3,3,3,2,3,21,0,"music, finance, coding",technology,11,4,Arts
15,Grade 10,7.5,70,83,67,72,2,3,5,2,3,17,1,"gaming, dance",business,7,8,Engineering
13,Grade 10,8.3,80,77,81,83,4,2,1,2,1,16,1,"music, sports, research",technology,12,7,Engineering
16,Grade 12,5.9,76,89,82,50,2,3,3,2,2,15,0,"research, coding",healthcare,9,8,Medicine
21,UG,9.4,77,90,76,73,2,2,3,2,3,20,0,"debate, gaming",arts,8,7,Defence Persenal
21,UG,6.8,71,78,71,70,3,2,2,2,2,20,1,history,healthcare,7,6,Engineering
18,UG,8.4,87,70,77,80,3,3,4,3,3,13,0,"science, history, painting",business,7,5,Lawyer
23,PG,7.4,70,59,71,77,3,3,3,2,2,15,1,history,business,9,9,CA
22,UG,7.2,70,83,93,73,1,1,3,3,2,16,0,"research, sports",technology,7,7,Arts
22,UG,8.7,82,65,78,59,2,1,2,2,2,19,1,science,healthcare,13,5,IT Specialist
16,Grade 12,6.7,57,84,56,80,2,2,3,1,2,24,1,"finance, dance, research",arts,9,6,Finance Manager
15,Grade 10,8.2,69,71,78,63,3,3,2,1,2,21,1,"sports, dance, writing",arts,14,4,CA
22,UG,7.8,74,62,73,77,2,1,3,1,1,18,1,"reading, coding, science",technology,9,3,Defence Persenal
14,Grade 10,6.6,88,82,59,70,2,3,4,2,2,22,1,"sports, coding",healthcare,9,9,Software Engineer
16,Grade 12,7.9,69,82,76,64,3,2,2,1,5,18,1,"history, writing",healthcare,8,4,Historian
18,UG,7.1,70,78,88,50,1,2,3,2,3,12,1,"reading, history",business,4,8,CA
27,PG,7,82,73,82,76,3,3,1,2,2,12,0,"music, history",business,10,7,Lawyer
22,UG,9.5,86,87,100,55,3,3,4,2,1,5,0,travel,healthcare,4,8,Defence Persenal
20,UG,9.3,60,74,51,79,3,4,4,4,2,7,0,history,arts,13,8,MBA
18,UG,7.5,55,57,59,78,3,1,4,3,2,20,1,coding,healthcare,10,8,Arts
25,PG,7,90,83,73,63,1,2,3,3,3,18,0,"coding, reading",healthcare,7,6,Medicine
24,UG,7.6,86,78,52,79,2,3,2,2,3,12,1,science,business,12,7,CA
25,UG,8.2,66,68,58,59,2,1,3,2,2,23,1,"travel, gaming, research",technology,15,6,Finance Manager
20,UG,8.7,88,65,64,83,2,4,3,3,2,21,0,"music, dance",business,12,6,Medicine
25,PG,8.4,91,92,61,86,1,1,3,4,4,12,1,"reading, history",healthcare,11,6,Historian
21,UG,7.4,71,71,54,73,1,2,1,2,3,16,1,dance,healthcare,9,3,IT Specialist
13,Grade 10,7,63,74,67,82,2,4,1,2,1,14,1,"gaming, finance",healthcare,10,10,Data Scientist
14,Grade 10,8,91,79,60,68,2,2,2,3,3,18,1,"painting, dance, reading",healthcare,7,5,Historian
13,Grade 10,7.3,70,83,59,64,2,3,4,2,2,13,1,"finance, research, sports",technology,11,9,IT Specialist
26,PG,6.1,79,100,55,78,1,2,3,2,3,26,1,"writing, debate",technology,13,9,Software Engineer
21,UG,8.6,72,79,96,66,4,1,4,3,2,16,1,"science, writing, debate",technology,12,4,CA
16,Grade 12,7,63,80,85,70,3,2,3,3,2,19,1,finance,arts,6,9,IT Specialist
16,Grade 12,9,84,82,74,73,3,4,1,3,1,18,0,"coding, research",healthcare,9,9,Data Scientist
19,UG,6,64,53,55,64,3,1,2,3,2,23,0,"travel, sports",healthcare,10,8,CA
14,Grade 10,9.4,67,88,79,53,3,3,2,2,2,20,1,"finance, travel, painting",arts,6,7,Arts
18,UG,7.4,80,68,96,73,3,3,2,1,2,19,1,"music, sports",business,11,8,Defence Persenal
22,UG,7.4,63,80,63,62,1,3,3,2,2,25,0,"reading, dance, coding",business,7,6,Defence Persenal
13,Grade 10,6.2,81,73,65,65,3,3,3,2,4,19,1,"coding, history, painting",business,9,5,IT Specialist
22,UG,5.8,75,74,50,60,1,3,4,2,4,27,1,research,healthcare,11,10,Software Engineer
23,UG,7.9,92,97,75,63,3,4,2,3,4,30,1,music,arts,7,5,Defence Persenal
17,Grade 12,6.8,74,57,79,84,2,4,3,3,4,24,1,"music, reading",technology,9,6,Software Engineer
21,UG,8,97,70,53,56,4,2,1,5,4,11,1,"debate, history",healthcare,9,10,Lawyer
17,Grade 12,7.9,59,68,67,70,3,1,1,2,2,22,0,"finance, research, reading",healthcare,10,5,MBA
14,Grade 10,5.6,54,82,78,50,3,3,3,1,1,25,0,"finance, travel",technology,10,8,CA
21,UG,6.1,69,80,73,55,2,3,3,3,3,18,0,science,healthcare,7,6,Finance Manager
16,Grade 12,8.5,82,98,63,52,1,4,3,2,3,27,1,"travel, music",healthcare,8,7,Data Scientist
18,UG,9.3,53,54,84,67,4,4,3,3,3,23,1,"debate, dance",arts,12,6,Data Scientist
19,UG,7.4,89,61,59,57,1,5,3,3,3,25,0,"music, sports, coding",business,10,4,Defence Persenal
17,Grade 12,7.8,88,93,75,73,2,2,2,1,2,29,1,research,healthcare,4,4,Historian
20,UG,8.2,73,69,77,75,2,5,3,4,2,16,1,coding,healthcare,12,10,Historian
24,PG,8.8,74,84,53,50,4,3,3,1,2,14,1,"reading, gaming",healthcare,11,7,Medicine
13,Grade 10,7.1,63,76,72,78,4,2,3,2,2,16,0,travel,technology,7,6,IT Specialist
19,UG,7.4,64,84,89,83,4,4,5,3,3,19,0,"music, reading, painting",business,10,9,Defence Persenal
20,UG,7.5,71,65,50,92,3,2,4,4,3,11,0,"dance, music, research",business,13,5,IT Specialist
27,UG,8.6,84,72,61,73,5,2,3,3,3,13,0,"gaming, reading, painting",healthcare,12,6,Medicine
21,UG,7.1,84,82,50,71,2,1,3,3,3,13,1,finance,arts,10,6,MBA
18,UG,7.5,85,83,57,74,4,3,1,3,2,22,1,travel,business,14,9,CA
14,Grade 10,6.2,63,75,79,66,2,1,3,2,4,15,1,music,healthcare,13,7,MBA
26,PG,8.5,77,81,79,98,3,4,3,3,3,21,1,"coding, travel, research",business,9,6,Engineering
18,UG,7.6,70,77,67,65,2,2,5,3,3,14,0,"coding, history, painting",technology,15,8,IT Specialist
13,Grade 10,7.8,98,80,81,60,2,4,4,2,2,17,0,"travel, debate, painting",healthcare,10,5,Arts
20,UG,5.9,68,82,58,87,2,1,3,3,3,28,0,dance,technology,8,5,Finance Manager
15,Grade 10,5.7,64,70,75,70,5,3,4,1,2,16,0,"sports, music, science",healthcare,9,6,Finance Manager
17,Grade 12,6.7,57,69,69,67,3,2,1,3,2,20,1,research,technology,4,6,Medicine
20,UG,8.6,95,87,72,85,3,4,3,2,2,27,0,"research, history, finance",business,7,4,Medicine
21,UG,6.4,82,81,73,59,2,5,3,3,2,32,1,"sports, painting",healthcare,5,6,Arts
27,PG,5.6,70,68,86,50,1,3,1,1,4,21,0,"writing, science",arts,12,8,Finance Manager
18,UG,9.2,66,69,78,67,1,3,2,2,2,25,0,reading,healthcare,10,4,Software Engineer
16,Grade 12,6.9,72,69,72,67,3,2,2,3,1,20,1,"research, reading, painting",business,12,10,Medicine
16,Grade 12,5.9,80,76,75,84,2,4,1,3,1,24,1,dance,healthcare,10,9,Historian
14,Grade 10,7.4,79,74,66,80,3,1,2,2,3,29,1,"travel, debate, gaming",technology,12,8,Finance Manager
20,UG,6.5,68,70,75,85,2,2,3,3,2,12,1,"debate, science, reading",healthcare,9,8,Engineering
18,UG,8.2,66,59,72,65,1,2,3,1,2,14,1,"finance, history, sports",business,8,7,Finance Manager
17,Grade 12,6.6,85,80,70,71,4,1,3,3,4,20,0,"gaming, research",technology,10,6,IT Specialist
24,UG,7.6,78,59,73,74,5,2,3,3,2,19,0,"coding, dance",arts,3,4,Medicine
21,UG,9.7,70,99,57,50,4,3,2,2,3,21,0,"research, writing",arts,11,7,Data Scientist
18,UG,6.9,56,100,68,77,3,2,1,3,4,22,0,"finance, music",technology,12,5,Defence Persenal
20,UG,7.6,73,80,62,50,2,1,1,4,2,24,0,"science, coding, reading",healthcare,7,8,Historian
30,UG,7.7,79,83,80,80,1,3,2,4,1,19,1,"writing, debate, dance",business,11,5,Defence Persenal
26,UG,7.1,71,77,60,81,1,3,1,3,3,19,0,research,arts,14,6,Software Engineer
22,UG,8.3,78,85,60,50,2,3,2,3,2,21,0,"science, sports, gaming",healthcare,5,7,Finance Manager
22,UG,6.4,81,89,70,81,2,2,3,3,2,34,0,"science, gaming",arts,13,7,IT Specialist
21,UG,7.1,79,81,70,72,3,3,2,1,2,19,1,"travel, finance",technology,12,10,Data Scientist
23,UG,6.8,68,65,65,78,3,1,2,2,4,16,0,"sports, travel",technology,9,7,CA
23,PG,8.5,70,95,63,55,4,1,5,1,3,19,1,"writing, travel",healthcare,9,5,Software Engineer
17,Grade 12,7.4,68,81,65,76,2,1,3,2,3,21,1,"history, research, music",healthcare,10,5,Finance Manager
24,PG,8.5,69,59,63,92,2,3,3,2,1,18,0,"gaming, sports, finance",arts,6,6,IT Specialist
25,UG,7.8,84,68,68,71,3,4,2,3,3,28,0,"music, coding, research",business,7,5,Software Engineer
16,Grade 12,9.2,69,65,71,52,4,3,2,2,1,15,1,dance,business,11,10,MBA
13,Grade 10,7.6,79,84,50,83,2,5,3,2,2,12,1,"history, finance, painting",technology,8,3,Medicine
14,Grade 10,7.9,75,82,84,65,4,2,2,1,3,34,1,"science, dance",technology,6,6,MBA
22,UG,7,79,76,62,52,3,3,4,1,3,27,1,"music, painting, debate",technology,13,8,MBA
21,UG,7.7,70,60,57,63,2,3,2,3,1,20,0,"science, coding",healthcare,6,3,Finance Manager
22,UG,7.2,64,59,79,64,1,3,3,2,2,9,1,"dance, history",business,4,7,Finance Manager
18,UG,7.3,88,73,51,50,3,1,3,1,2,12,1,dance,business,7,6,Data Scientist
20,UG,7.3,50,81,77,59,5,4,3,4,2,24,1,"coding, reading, sports",healthcare,10,9,Data Scientist
23,PG,6.9,55,87,70,59,2,1,4,3,2,18,1,"science, sports",healthcare,12,5,IT Specialist
21,UG,8.9,93,78,60,92,1,4,2,2,3,18,1,"research, sports, debate",technology,9,9,CA
21,UG,8.5,80,50,82,67,2,3,2,4,2,18,0,finance,healthcare,10,10,Defence Persenal
18,UG,8.1,68,58,81,86,2,3,3,3,3,22,1,"history, finance",technology,8,8,Defence Persenal
22,UG,7.1,72,74,97,67,3,3,3,4,3,13,0,"writing, reading, dance",arts,7,6,MBA
22,UG,6.8,87,83,60,64,2,4,1,2,4,21,1,"finance, sports",business,4,4,CA
21,UG,6.3,63,73,58,51,3,5,4,2,3,18,0,"gaming, history",arts,11,8,Lawyer
14,Grade 10,8.3,70,60,70,64,3,2,3,2,4,27,0,"writing, finance",healthcare,13,5,Defence Persenal
23,PG,5.9,100,73,64,53,3,1,1,1,2,12,0,"reading, history",business,11,8,Data Scientist
21,UG,8.2,64,63,82,87,2,2,2,3,3,16,1,"reading, gaming",technology,10,9,Data Scientist
16,Grade 12,8.3,51,83,50,60,4,2,2,3,4,14,0,writing,arts,9,10,IT Specialist
21,UG,8.7,70,67,80,69,4,4,1,3,1,6,1,"gaming, painting, coding",business,7,10,Data Scientist
17,Grade 12,8.5,81,72,75,72,3,2,2,2,4,29,1,"writing, travel",business,6,9,Engineering
24,PG,7.4,90,83,53,79,3,2,2,3,3,25,0,reading,healthcare,7,8,CA
20,UG,6.2,85,81,71,64,3,3,5,2,1,24,1,"sports, travel, painting",arts,11,8,CA
25,PG,10,57,72,67,85,3,2,4,4,1,25,1,"travel, coding, research",arts,9,6,CA
18,UG,8.2,83,68,64,63,3,2,3,3,3,22,1,debate,arts,6,6,MBA
13,Grade 10,7.8,79,69,74,59,2,3,4,2,3,24,1,"research, music, gaming",healthcare,7,5,Historian
20,UG,6.4,65,63,60,87,3,3,4,3,4,24,1,history,business,6,6,Data Scientist
20,UG,8.8,83,90,64,82,1,3,3,2,3,16,0,"dance, science, reading",healthcare,10,8,CA
17,Grade 12,6.2,82,80,58,83,1,3,2,2,4,25,1,reading,technology,3,7,Software Engineer
25,PG,7.9,62,73,50,56,4,3,2,2,3,23,1,reading,business,9,3,Arts
24,PG,8.5,82,84,73,76,3,3,3,3,3,22,1,"music, research, writing",healthcare,7,4,Data Scientist
20,UG,7.2,64,71,94,94,4,2,4,2,3,16,1,research,technology,8,7,Engineering
15,Grade 10,8.5,75,79,55,63,1,3,2,3,2,18,0,"sports, painting",arts,12,8,Engineering
17,Grade 12,9,80,91,74,66,2,1,2,5,3,18,0,"research, painting",technology,6,9,Medicine
19,UG,6,51,76,82,71,1,2,3,3,3,30,0,"research, reading",healthcare,11,6,Defence Persenal
17,Grade 12,7.5,72,58,50,56,1,2,3,3,2,12,0,"coding, travel",technology,12,6,Historian
23,PG,7.7,66,65,70,68,3,2,4,2,2,24,1,"travel, history, gaming",business,8,3,Data Scientist
20,UG,6.6,61,77,53,84,2,1,4,2,4,10,1,history,arts,15,7,Medicine
20,UG,5.7,64,81,58,64,3,4,2,4,4,14,1,"writing, history, music",business,5,9,Data Scientist
26,UG,7.1,84,76,64,68,3,1,2,3,3,22,1,"sports, research, coding",healthcare,9,9,Software Engineer
24,UG,7.5,80,80,81,90,2,3,1,2,1,14,1,"coding, reading",arts,11,6,Engineering
18,UG,7.2,72,70,85,70,4,1,1,2,2,20,0,"dance, reading, science",arts,12,10,Software Engineer
17,Grade 12,9.2,77,50,70,73,2,1,3,3,3,20,0,science,healthcare,12,4,Historian
21,UG,7.2,69,75,75,50,1,2,3,2,3,16,1,sports,healthcare,3,10,IT Specialist
19,UG,5.3,59,82,70,63,3,2,3,1,3,23,1,"history, science",technology,10,8,Software Engineer
16,Grade 12,9.5,67,68,68,74,3,3,2,3,4,12,1,"sports, music",business,8,8,Software Engineer
16,Grade 12,6,82,80,68,93,1,3,2,4,2,23,0,"debate, coding",arts,6,5,Software Engineer
17,Grade 12,5.8,81,65,90,72,3,3,4,4,4,31,1,dance,healthcare,11,5,Medicine
26,UG,7.9,73,64,53,68,1,3,1,2,2,23,0,"dance, travel",arts,9,7,Lawyer
19,UG,8.5,81,86,71,65,2,1,3,3,3,31,0,"travel, gaming",arts,6,7,CA
13,Grade 10,8.9,78,79,76,68,2,3,2,3,3,19,0,painting,business,13,5,Engineering
17,Grade 12,7.8,78,76,72,68,2,2,1,1,3,21,0,"coding, debate",arts,9,3,Engineering
13,Grade 10,8.9,83,63,69,56,3,2,3,3,2,19,0,finance,business,10,8,Historian
23,UG,6.9,73,74,78,68,1,3,4,3,4,15,1,"painting, gaming",healthcare,12,7,IT Specialist
23,UG,6.2,79,77,78,78,2,1,1,2,2,19,1,reading,technology,10,7,MBA
25,PG,5,73,83,63,50,3,3,1,5,4,16,1,music,healthcare,6,4,Lawyer
25,UG,6.7,81,76,85,62,3,3,4,3,2,25,1,painting,business,11,6,CA
22,UG,8.4,73,64,50,75,3,3,1,1,3,16,1,"writing, dance",technology,6,6,MBA
22,UG,7.1,74,64,75,65,2,4,3,4,2,26,0,gaming,technology,8,8,MBA
13,Grade 10,7.3,75,65,78,85,2,2,2,3,3,26,1,"history, debate",technology,9,6,Medicine
19,UG,8.1,79,87,74,82,2,4,2,2,3,5,1,"reading, music, debate",business,12,6,Medicine
20,UG,9.7,68,84,58,54,2,3,2,3,1,28,0,"debate, coding, research",technology,12,6,Defence Persenal
17,Grade 12,5.2,62,65,85,55,2,2,1,3,3,22,1,travel,healthcare,8,7,Defence Persenal
16,Grade 12,8.1,74,58,63,55,2,1,2,1,3,20,0,travel,business,11,5,IT Specialist
19,UG,9.9,69,79,86,65,2,3,3,3,2,37,1,"finance, writing, music",healthcare,10,4,Medicine
16,Grade 12,7.5,74,72,83,85,2,3,1,1,2,26,1,dance,technology,7,6,Finance Manager
18,UG,9.6,70,65,88,50,4,3,4,2,3,11,0,"debate, finance, dance",business,8,3,Finance Manager
24,PG,6.6,85,70,61,53,2,1,2,3,4,20,1,"sports, research, travel",arts,4,7,Defence Persenal
21,UG,8.9,74,56,87,78,2,2,2,3,2,13,0,"research, debate, reading",business,9,9,Lawyer
17,Grade 12,5.8,74,67,84,57,3,2,3,2,3,24,0,"coding, sports",healthcare,6,10,Data Scientist
21,UG,8.1,73,85,77,64,3,2,3,4,4,17,1,writing,technology,3,4,Engineering
23,UG,6.2,72,80,65,69,1,2,3,3,1,16,1,history,healthcare,3,10,Software Engineer
22,UG,6.2,69,73,50,71,2,2,4,2,1,18,1,"finance, reading, sports",technology,7,9,Software Engineer
